UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_018,106.54,15.72,16.068,-76.735,0.0001091,698.496,0.77,0.36,9.4,0.3551,0.0,0.0,91.239,5.37,HAPS
UE_019,112.37,14.696,11.095,-77.582,0.00100385,493.188,0.93,5.63,9.4,0.3746,0.0,0.0,73.834,3.79,HAPS
UE_000,149.7,20.59,19.87,-75.32,0.00012111,860.016,1.69,1.58,9.4,0.499,0.0,0.0,100.0,6.62,HAPS
UE_001,109.25,16.344,13.932,-76.547,0.00010623,609.089,0.92,0.15,9.4,0.3642,0.0,0.0,83.762,4.69,HAPS
UE_002,90.31,13.85,9.385,-78.697,0.00100355,425.753,0.77,2.39,9.4,0.301,0.0,0.0,67.848,3.28,HAPS
UE_003,171.64,8.214,6.521,-80.08,0.0010063,319.328,1.89,0.66,9.4,0.5721,0.0,0.0,57.823,2.46,HAPS
UE_004,144.5,11.1,7.39,-81.238,0.00101221,350.563,1.34,3.0,9.4,0.4817,0.0,0.0,60.865,2.7,HAPS
UE_005,87.34,15.492,11.289,-77.472,0.00101099,500.974,1.23,2.78,9.4,0.2911,0.0,0.0,74.513,3.85,HAPS
UE_006,170.04,13.525,11.787,-78.225,0.00100931,521.059,1.21,3.5,9.4,0.5668,0.0,0.0,76.255,4.01,HAPS
UE_007,50.49,20.912,17.602,-74.22,0.0001013,763.363,0.68,6.02,9.4,0.1683,0.0,0.0,96.606,5.87,HAPS
UE_008,90.83,9.69,6.755,-81.947,0.00100447,327.654,1.19,0.8,9.4,0.3028,0.0,0.0,58.644,2.52,HAPS
UE_009,175.59,6.982,5.774,-80.885,0.02000628,293.379,1.96,0.19,9.4,0.5853,0.0,0.0,55.209,2.26,HAPS
UE_010,110.63,18.424,15.415,-77.878,0.0001177,671.01,1.06,4.37,9.4,0.3688,0.0,0.0,88.952,5.16,HAPS
UE_011,115.93,18.522,14.201,-75.326,0.00010564,620.263,1.46,1.93,9.4,0.3864,0.0,0.0,84.703,4.77,HAPS
UE_012,146.47,14.923,13.126,-76.98,0.00010873,575.778,1.13,0.17,9.4,0.4882,0.0,0.0,80.942,4.43,HAPS
UE_013,173.54,17.509,13.102,-76.964,0.00010213,574.754,1.49,3.0,9.4,0.5785,0.0,0.0,80.855,4.42,HAPS
UE_014,110.05,23.821,21.391,-73.392,1.005e-05,925.144,0.93,1.26,9.4,0.3668,0.0,0.0,100.0,7.12,HAPS
UE_015,116.3,13.902,11.075,-77.53,0.00101533,492.354,1.13,6.55,9.4,0.3877,0.0,0.0,73.761,3.79,HAPS
UE_016,143.69,19.139,15.295,-75.774,0.00010458,665.957,1.4,6.61,9.4,0.479,0.0,0.0,88.531,5.12,HAPS
UE_017,44.89,23.765,19.778,-73.02,0.00010773,856.07,1.1,6.97,9.4,0.1496,0.0,0.0,100.0,6.59,HAPS
UE_018,106.35,6.867,5.273,-81.999,0.0200186,276.481,1.48,1.98,9.4,0.3545,0.0,0.0,53.455,2.13,HAPS
UE_019,112.17,12.018,9.201,-76.801,0.00100808,418.629,1.43,0.65,9.4,0.3739,0.0,0.0,67.203,3.22,HAPS
UE_000,149.66,13.633,10.278,-77.151,0.0010181,460.685,1.39,0.16,9.4,0.4989,0.0,0.0,70.974,3.54,HAPS
UE_001,109.38,14.359,13.235,-76.87,0.00010577,580.251,1.05,2.31,9.4,0.3646,0.0,0.0,81.322,4.46,HAPS
UE_002,90.15,14.438,11.914,-77.081,0.00100132,526.217,0.9,4.02,9.4,0.3005,0.0,0.0,76.7,4.05,HAPS
UE_003,171.52,7.101,4.631,-83.163,0.02001354,255.49,1.36,39.5,9.4,0.5717,0.0,0.0,51.21,1.97,HAPS
UE_004,144.55,13.763,12.0,-79.713,0.00010599,529.71,1.3,0.12,9.4,0.4818,0.0,0.0,77.001,4.07,HAPS
UE_005,87.54,16.623,12.925,-75.172,0.00010312,567.512,1.38,5.79,9.4,0.2918,0.0,0.0,80.239,4.37,HAPS
UE_006,170.21,13.685,12.308,-79.225,0.00010142,542.232,1.71,6.16,9.4,0.5674,0.0,0.0,78.078,4.17,HAPS
UE_007,50.31,29.145,26.681,-69.367,2.541e-05,1152.604,0.57,0.89,9.4,0.1677,0.0,0.0,100.0,8.87,HAPS
UE_008,91.02,15.993,11.244,-75.452,0.00100116,499.17,1.07,1.47,9.4,0.3034,0.0,0.0,74.356,3.84,HAPS
