UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UAV_016,1.4546,24.066,21.266,-58.467,1.11e-06,99.053,1.71,0.8,-95.6,0.005,0.0,0.0,100.0,7.075,263.3,13.4,UAV,4.605700045587698,5.954676629957229,0.5877866649021191
UAV_017,1.1343,28.827,25.427,-55.487,1e-08,118.309,1.208,1.3,-90.1,0.004,0.0,0.0,100.0,8.451,293.1,15.2,UAV,4.781716766325469,7.999956572723137,0.832909122935104
UAV_018,1.1942000000000002,27.379,25.079,-56.51,1e-08,116.699,1.508,3.0,-105.1,0.004,0.0,0.0,100.0,8.336,249.2,13.3,UAV,4.768130518053418,7.999956572723137,1.3862943611198906
UAV_019,0.7937000000000001,44.128,41.628,-47.836,1e-08,193.601,1.105,0.6,154.1,0.003,0.0,0.0,100.0,13.829,416.8,19.3,UAV,5.270951308484848,7.999956572723137,0.4700036292457356
UAV_000,1.7375999999999998,31.122,28.122,-53.739,1e-08,130.817,1.912,1.0,91.9,0.006,0.0,0.0,100.0,9.344,450.5,15.3,UAV,4.881414597058818,7.999956572723137,0.6931471805599453
UAV_001,1.6057,24.651,21.551,-57.774,1.04e-06,100.368,1.411,0.2,-28.3,0.005,7.0,0.257,100.0,7.169,361.6,14.5,UAV,4.618757459496607,5.982966243110573,0.18232155679395462
UAV_002,1.9444,23.645,20.545,-58.777,1.09e-06,95.727,1.713,0.9,60.3,0.006,0.0,0.0,100.0,6.838,432.1,13.4,UAV,4.571892577550372,5.962573103624255,0.6418538861723948
UAV_003,0.939,38.068,35.768,-50.366,1e-08,166.35,1.306,1.9,-63.9,0.003,0.0,0.0,100.0,11.882,269.7,17.4,UAV,5.120087427657335,7.999956572723137,1.0647107369924282
UAV_004,0.3946,41.498,39.598,-49.151,1e-08,184.162,1.303,2.9,-26.0,0.001,0.0,0.0,100.0,13.154,182.0,12.2,UAV,5.221231117573734,7.999956572723137,1.3609765531356006
UAV_005,1.6036,24.619,20.819,-58.391,1.16e-06,96.988,1.411,0.8,-33.6,0.005,0.0,0.0,100.0,6.928,360.6,13.1,UAV,4.584845022193492,5.935541636381448,0.5877866649021191
UAV_006,0.829,39.35,36.65,-50.325,1e-08,170.453,1.306,1.7,-155.4,0.003,0.0,0.0,100.0,12.175,413.3,19.9,UAV,5.144309176568618,7.999956572723137,0.9932517730102834
UAV_007,1.1915,27.799,24.399,-57.0,1.39e-06,113.547,1.408,1.4,-34.8,0.004,0.0,0.0,100.0,8.11,137.9,13.8,UAV,4.7409852191196284,5.856984887303944,0.8754687373538999
UAV_008,2.6092,21.191,18.491,-60.105,1.32e-06,86.278,1.417,0.8,33.8,0.009,0.0,0.0,99.717,6.163,364.8,17.2,UAV,4.469098426505165,5.879425739783303,0.5877866649021191
UAV_009,0.7363999999999999,33.478,29.578,-52.661,1e-08,137.582,1.805,1.6,-151.2,0.002,0.0,0.0,100.0,9.827,190.4,19.8,UAV,4.931462208192078,7.999956572723137,0.9555114450274365
UAV_010,2.2637,24.824,22.724,-57.188,1.04e-06,105.792,1.815,2.3,92.8,0.008,0.0,0.0,100.0,7.557,60.5,11.7,UAV,4.6708830173534315,5.982966243110573,1.1939224684724346
UAV_011,1.5784,28.757,25.357,-55.322,1e-08,117.985,1.111,1.6,-52.4,0.005,0.0,0.0,100.0,8.428,190.1,11.5,UAV,4.77899743474634,7.999956572723137,0.9555114450274365
UAV_012,2.2105,22.131,20.931,-59.934,1.15e-06,97.507,1.515,0.9,91.6,0.007,0.0,0.0,100.0,6.965,194.3,12.3,UAV,4.590127611642823,5.939301781999177,0.6418538861723948
UAV_013,1.1895,26.613,24.113,-57.493,1.2e-06,112.222,1.308,3.0,77.3,0.004,0.0,0.0,100.0,8.016,306.7,15.9,UAV,4.7293504931760415,5.920818392040458,1.3862943611198906
UAV_014,1.5942,25.97,21.27,-56.115,1.11e-06,99.071,1.711,0.8,110.1,0.005,0.0,0.0,100.0,7.077,189.7,14.9,UAV,4.605879934057332,5.954676629957229,0.5877866649021191
UAV_015,1.2247,31.461,28.261,-53.37,1e-08,131.462,1.608,0.5,-96.0,0.004,0.0,0.0,100.0,9.39,189.9,12.3,UAV,4.886295811840626,7.999956572723137,0.4054651081081644
UAV_016,1.4585,26.043,22.743,-57.579,1.4e-06,105.876,1.71,0.4,-103.5,0.005,0.0,0.0,100.0,7.563,218.7,14.5,UAV,4.6716692839382965,5.853871654111528,0.33647223662121295
UAV_017,1.0088,37.844,33.744,-51.878,1e-08,156.944,1.107,1.2,-87.2,0.003,0.0,0.0,100.0,11.21,317.6,14.7,UAV,5.062240539821928,7.999956572723137,0.7884573603642702
UAV_018,1.1243,33.303,30.503,-54.048,1e-08,141.879,1.907,2.9,-87.7,0.004,0.0,0.0,100.0,10.134,248.7,11.1,UAV,4.9619981182235176,7.999956572723137,1.3609765531356006
UAV_019,0.6526000000000001,45.228,41.128,-48.386,1e-08,191.274,1.504,1.8,151.7,0.002,0.0,0.0,100.0,13.662,433.5,19.0,UAV,5.2589214380454425,7.999956572723137,1.0296194171811583
UAV_000,1.6383,29.233,24.933,-56.283,1.35e-06,116.021,1.211,1.1,61.9,0.005,0.0,0.0,100.0,8.287,444.8,10.3,UAV,4.762353405871346,5.869665909805497,0.7419373447293773
UAV_001,1.54,27.924,24.624,-55.238,1.47e-06,114.59,1.01,2.0,-28.3,0.005,7.0,0.246,100.0,8.185,357.8,14.5,UAV,4.750049447306176,5.832682369813502,1.0986122886681096
UAV_002,1.84,22.024,17.224,-59.088,1.43e-06,80.485,1.212,3.0,48.2,0.006,0.0,0.0,95.286,5.749,428.1,10.7,UAV,4.400418954227952,5.8446636588326095,1.3862943611198906
UAV_003,1.091,30.164,28.164,-54.418,1e-08,131.014,1.907,2.9,-58.0,0.004,0.0,0.0,100.0,9.358,278.7,15.8,UAV,4.8829079775684034,7.999956572723137,1.3609765531356006
UAV_004,0.5041,42.671,38.671,-48.565,1e-08,179.848,1.003,1.9,-35.4,0.002,0.0,0.0,100.0,12.846,175.1,16.6,UAV,5.197656899448376,7.999956572723137,1.0647107369924282
