UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_009,0.433,14.216,7.716,-63.692,0.001,209.163,1.278,0.4,-1.8,0.0014,0.0,0.0,62.01,2.79,5G_NR
UE_010,0.539,16.415,12.265,-61.293,1e-05,311.805,1.339,0.2,-24.3,0.0018,0.0,0.0,77.93,4.16,5G_NR
UE_011,0.515,14.013,10.513,-62.394,1e-05,271.13,1.262,0.2,74.2,0.0017,0.0,0.0,71.79,3.62,5G_NR
UE_012,0.715,9.431,5.381,-64.984,0.001,161.594,1.201,0.9,62.9,0.0024,0.0,0.0,53.83,2.15,5G_NR
UE_013,0.42,21.599,16.249,-58.801,1e-07,407.363,1.127,0.9,80.3,0.0014,0.0,0.0,91.87,5.43,5G_NR
UE_014,0.384,22.029,18.679,-59.886,1e-07,466.826,1.243,1.6,21.1,0.0013,0.0,0.0,100.0,6.22,5G_NR
UE_015,0.468,18.603,13.253,-61.498,1e-05,335.196,1.267,0.1,151.6,0.0016,0.0,0.0,81.39,4.47,5G_NR
UE_016,0.863,3.385,-4.815,-68.107,0.1,30.859,1.281,23.0,47.7,0.0029,0.0,0.0,18.15,0.41,5G_NR
UE_017,0.337,20.112,11.212,-59.144,1e-05,287.221,1.294,2.7,114.3,0.0011,0.0,0.0,74.24,3.83,5G_NR
UE_018,0.303,28.582,21.682,-55.709,1e-07,540.922,1.16,0.1,-107.2,0.001,0.0,0.0,100.0,7.21,5G_NR
UE_019,0.151,36.621,30.871,-52.089,0.0,769.224,1.41,2.0,-128.9,0.0005,0.0,0.0,100.0,10.26,5G_NR
UE_000,0.277,26.805,22.805,-56.498,0.0,568.735,1.028,1.5,7.3,0.0009,0.0,0.0,100.0,7.58,5G_NR
UE_001,0.29,27.105,24.755,-56.548,0.0,617.11,1.134,0.9,-94.4,0.001,0.0,0.0,100.0,8.23,5G_NR
UE_002,0.636,9.748,5.698,-64.726,0.001,167.762,1.439,2.4,7.3,0.0021,0.0,0.0,54.94,2.24,5G_NR
UE_003,0.403,21.485,14.535,-59.657,1e-05,365.882,1.43,2.7,-87.0,0.0013,0.0,0.0,85.87,4.88,5G_NR
UE_004,0.566,19.181,14.781,-60.309,1e-05,371.803,1.157,0.8,-6.4,0.0019,0.0,0.0,86.73,4.96,5G_NR
UE_005,0.469,21.783,14.383,-59.608,1e-05,362.22,1.282,1.1,-15.9,0.0016,0.0,0.0,85.34,4.83,5G_NR
UE_006,0.605,17.45,12.85,-60.975,1e-05,325.62,1.156,2.3,-16.0,0.002,0.0,0.0,79.97,4.34,5G_NR
UE_007,0.917,3.575,0.125,-69.012,0.01,76.574,1.462,7.0,-11.4,0.0031,0.0,0.0,35.44,1.02,5G_NR
UE_008,0.164,40.505,34.855,-49.048,0.0,868.419,1.336,0.2,17.9,0.0005,0.0,0.0,100.0,11.58,5G_NR
UE_009,0.51,20.262,16.962,-59.969,1e-07,424.76,1.061,2.8,-1.8,0.0017,0.0,0.0,94.37,5.66,5G_NR
UE_010,0.564,12.19,6.09,-64.805,0.001,175.532,1.501,1.3,-24.3,0.0019,0.0,0.0,56.32,2.34,5G_NR
UE_011,0.557,10.234,3.034,-64.783,0.01,119.262,1.371,7.0,74.2,0.0019,0.0,0.0,45.62,1.59,5G_NR
UE_012,0.679,16.178,8.478,-62.211,0.001,225.589,1.538,0.4,62.9,0.0023,0.0,0.0,64.67,3.01,5G_NR
UE_013,0.302,27.265,22.865,-55.467,0.0,570.239,1.055,1.8,80.3,0.001,0.0,0.0,100.0,7.6,5G_NR
UE_014,0.393,22.238,15.438,-59.281,1e-05,387.683,1.224,1.7,-22.2,0.0013,0.0,0.0,89.03,5.17,5G_NR
UE_015,0.427,22.787,19.287,-57.706,1e-07,481.802,1.108,1.4,151.6,0.0014,0.0,0.0,100.0,6.42,5G_NR
UE_016,0.812,10.766,5.166,-64.917,0.001,157.461,1.231,1.5,47.7,0.0027,0.0,0.0,53.08,2.1,5G_NR
UE_017,0.261,33.548,30.248,-53.826,0.0,753.714,1.141,2.3,114.3,0.0009,0.0,0.0,100.0,10.05,5G_NR
UE_018,0.42,20.627,14.077,-59.286,1e-05,354.883,1.227,1.3,-107.2,0.0014,0.0,0.0,84.27,4.73,5G_NR
UE_019,0.077,51.3,47.85,-44.65,0.0,1192.156,1.153,2.7,-128.9,0.0003,0.0,0.0,100.0,15.9,5G_NR
UE_000,0.237,35.866,27.566,-52.967,0.0,686.986,1.274,0.2,7.3,0.0008,0.0,0.0,100.0,9.16,5G_NR
UE_001,0.204,38.864,30.914,-50.068,0.0,770.284,1.39,0.8,-94.4,0.0007,0.0,0.0,100.0,10.27,5G_NR
UE_002,0.754,6.145,-1.255,-67.027,0.1,60.496,1.11,31.0,7.3,0.0025,0.0,0.0,30.61,0.81,5G_NR
UE_003,0.373,24.948,20.398,-58.126,1e-07,509.18,1.382,0.7,-87.0,0.0012,0.0,0.0,100.0,6.79,5G_NR
UE_004,0.577,20.054,15.154,-60.073,1e-05,380.8,1.523,2.3,-6.4,0.0019,0.0,0.0,88.04,5.08,5G_NR
UE_005,0.488,19.332,13.982,-60.134,1e-05,352.606,1.479,2.6,-15.9,0.0016,0.0,0.0,83.94,4.7,5G_NR
UE_006,0.509,13.794,10.294,-63.103,1e-05,266.139,1.296,1.0,-16.0,0.0017,0.0,0.0,71.03,3.55,5G_NR
UE_007,0.549,13.445,7.345,-63.878,0.001,201.292,1.505,2.6,-11.4,0.0018,0.0,0.0,60.71,2.68,5G_NR
UE_008,0.172,33.344,25.494,-52.728,0.0,635.465,1.467,1.6,17.9,0.0006,0.0,0.0,100.0,8.47,5G_NR
UE_009,0.592,19.063,15.663,-59.869,1e-05,393.131,1.059,2.6,-1.8,0.002,0.0,0.0,89.82,5.24,5G_NR
UE_010,0.589,10.582,7.082,-65.509,0.001,195.786,1.139,1.9,-24.3,0.002,0.0,0.0,59.79,2.61,5G_NR
UE_011,0.61,10.914,4.564,-65.443,0.001,146.147,1.156,9.0,74.2,0.002,0.0,0.0,50.97,1.95,5G_NR
UE_012,0.622,18.005,10.155,-61.297,1e-05,262.984,1.147,0.5,62.9,0.0021,0.0,0.0,70.54,3.51,5G_NR
UE_013,0.186,33.809,28.159,-52.495,0.0,701.732,1.249,2.9,80.3,0.0006,0.0,0.0,100.0,9.36,5G_NR
